Genus,N_Test_Rows,Clockwise_Order,Display_Variable,Model_Feature,Category,SHAP_P05,SHAP_P95,Absolute_P05_Plus_P95,Robust_SHAP_Range_P05_P95,Mean_Absolute_SHAP,High_minus_Low_SHAP_for_Display_Variable,Feature_SHAP_Spearman_for_Display_Variable,Decile_Monotonicity_Score,Previous_Association_Class,Association_Class,Classification_Changed_After_Audit,Classification_Reason,Plot_Color,Feature_Share_of_Genus_Absolute_SHAP_Impact
Alnus,115,3,Density,Density25,Structure,-0.0970617838203907,0.114040183275938,0.2111019670963287,0.2111019670963287,0.0463112322054613,0.1251881492868866,0.8506920734603151,0.9049009132093737,Positive association,Positive association,False,Directional Spearman and decile pattern,#1F7A4D,0.16401091148450173
Alnus,115,4,Park condition,type_Puisto,Structure,-0.0064726972486823,0.0181331107392907,0.024605807987973,0.024605807987973,0.0060238886085521,-0.0112190670262591,,1.0,Negative association,Negative association,False,Binary indicator: sign of high-minus-low SHAP contrast,#9CCFAE,0.019116927480256857
Alnus,115,5,Moraine,soil_moraine,Soil,-0.0179253218695521,0.0077436723746359,0.025668994244188,0.025668994244188,0.0073067001041794,-0.0475212931159718,,1.0,Negative association,Negative association,False,Binary indicator: sign of high-minus-low SHAP contrast,#F3A187,0.019942946059610257
Alnus,115,6,Infill,soil_infill,Soil,-0.0672283135354518,0.0510845698416233,0.1183128833770751,0.1183128833770751,0.0383530456491786,0.076853395893514,,1.0,Positive association,Positive association,False,Binary indicator: sign of high-minus-low SHAP contrast,#D84A36,0.09192052594270264
Alnus,115,7,Bedrock,soil_bedrock,Soil,-0.0429788865149021,0.0575336150825023,0.10051250159740441,0.1005125015974044,0.0346888993259357,-0.0677654685595215,,1.0,Negative association,Negative association,False,Binary indicator: sign of high-minus-low SHAP contrast,#F3A187,0.07809092084421618
Alnus,115,8,LST,avg_LST,Atmosphere,-0.1153511174023151,0.0439900856465101,0.1593412030488252,0.1593412030488252,0.0371739001732076,0.0866364373584631,0.6057468671039009,0.711301616372026,Positive association,Positive association,False,Directional Spearman and decile pattern,#187CAD,0.1237965534312133
Alnus,115,9,Radiation,avg_radiation,Atmosphere,-0.1213246524333953,0.1253183834254741,0.2466430358588694,0.2466430358588695,0.0568725945949352,-0.1591858999835776,-0.8751260063261846,0.8942505994262425,Negative association,Negative association,False,Directional Spearman and decile pattern,#9BD5E6,0.19162374315564265
Alnus,115,10,Noise,avg_noise_day,Atmosphere,-0.0336372181773185,0.0493746615946292,0.0830118797719477,0.0830118797719478,0.0238456988605954,-0.0279073438142002,-0.3683837381892864,0.5313409709808479,Nonlinear association,Nonlinear association,False,Material decile reversal: monotonicity < 0.65,#B9BEC5,0.06449420748043704
Alnus,115,11,Illumination,lightemiss,Atmosphere,-0.0430943194776773,0.0317772194743156,0.0748715389519929,0.074871538951993,0.0206149199683948,0.0335940710826738,0.6581937882415594,0.8605275363685512,Positive association,Positive association,False,Directional Spearman and decile pattern,#187CAD,0.058169753302963374
Betula,401,1,View factor,avg_svf,Structure,-0.0579080618917942,0.0648073107004165,0.12271537259221069,0.1227153725922107,0.028960060858011,-0.0097404764562419,-0.0681139554795653,0.5266158779807208,Nonlinear association,Nonlinear association,False,Weak overall direction: |Spearman| < 0.25,#B9BEC5,0.08807123680799232
Betula,401,2,Diversity,Mono_Rate,Structure,-0.0626649037003517,0.0504042953252792,0.1130691990256309,0.1130691990256309,0.0260032399271863,-0.032048953628504,-0.2359205899710535,0.6690256102844175,Nonlinear association,Nonlinear association,False,Weak overall direction: |Spearman| < 0.25,#B9BEC5,0.08114830271646377
Betula,401,3,Density,Density25,Structure,-0.0962690785527229,0.2152711153030395,0.31154019385576237,0.3115401938557625,0.0773108905530244,0.2312157524124064,0.9488053932155788,1.0,Positive association,Positive association,False,Directional Spearman and decile pattern,#1F7A4D,0.22358837045995558
Betula,401,4,Park condition,type_Puisto,Structure,-0.0027941428124904,0.0210590213537216,0.023853164166212002,0.023853164166212,0.006263966933694,-0.0121667360892289,,1.0,Negative association,Negative association,False,Binary indicator: sign of high-minus-low SHAP contrast,#9CCFAE,0.017119107618923695
Betula,401,5,Moraine,soil_moraine,Soil,-0.0754173919558525,0.0084024257957935,0.083819817751646,0.083819817751646,0.0121388467230059,-0.0638089609822958,,1.0,Negative association,Negative association,False,Binary indicator: sign of high-minus-low SHAP contrast,#F3A187,0.060156399825628294
Betula,401,6,Infill,soil_infill,Soil,-0.0375762097537517,0.0373447984457016,0.0749210081994533,0.0749210081994533,0.021541814196334,0.042878760249183,,1.0,Positive association,Positive association,False,Binary indicator: sign of high-minus-low SHAP contrast,#D84A36,0.05376983922751351
Betula,401,7,Bedrock,soil_bedrock,Soil,-0.0353893339633941,0.0445958226919174,0.0799851566553115,0.0799851566553115,0.0236670088688742,-0.0466127961144288,,1.0,Negative association,Negative association,False,Binary indicator: sign of high-minus-low SHAP contrast,#F3A187,0.05740431311994764
Betula,401,8,LST,avg_LST,Atmosphere,-0.1080395579338073,0.0472732186317443,0.1553127765655516,0.1553127765655517,0.0332657734919998,0.0777314545399369,0.6168738256414256,0.7591883674031804,Positive association,Positive association,False,Directional Spearman and decile pattern,#187CAD,0.11146597231681908
Betula,401,9,Radiation,avg_radiation,Atmosphere,-0.1412859261035919,0.0910275280475616,0.2323134541511535,0.2323134541511535,0.0596066187250367,-0.1569384653467021,-0.8878835143051163,1.0,Negative association,Negative association,False,Directional Spearman and decile pattern,#9BD5E6,0.1667283633829557
Betula,401,10,Noise,avg_noise_day,Atmosphere,-0.0542228519916534,0.0498486049473285,0.1040714569389819,0.104071456938982,0.0251735637513022,-0.0594295405425524,-0.796426819889333,0.8636875989679229,Negative association,Negative association,False,Directional Spearman and decile pattern,#9BD5E6,0.07469073951707694
